Spanish,7
grief,7
sake,7
saved,7
committed,7
state,7
confess,7
merciful,7
marching,7
nice,6
makes,6
See,6
means,6
Yeah,6
meet,6
ride,6
fixing,6
save,6
fighting,6
Tonight,6
stuff,6
wrote,6
hurting,6
lay,6
yet,6
raised,6
Your,6
proud,6
American,6
supposed,6
watching,6
crying,6
dying,6
changed,6
send,6
members,6
beside,6
times,6
law,6
Look,6
watch,6
unto,6
enemies,6
used,6
actions,6
couldn't,6
praying,6
deliver,6
Polunsky,6
gun,6
defense,6
telling,6
King,6
boy,6
okay,6
sorrow,6
guilty,6
none,6
responsibility,6
mind,6
remorse,6
reach,6
such,6
needs,6
executed,6
future,6
own,6
glad,6
present,6
blessed,6
follow,6
dead,6
grace,6
witnesses,6
Today,6
freedom,6
Oh,6
convicted,6
opportunity,6
Walsh,6
special,6
sin,6
moment,6
forgotten,6
There's,6
Boswell,6
ways,6
unintelligible,6
1,5
10,5
Thomas,5
prayers,5
stood,5
At,5
prayed,5
From,5
listen,5
English,5
daughters,5
probably,5
sad,5
murdering,5
keeping,5
church,5
helping,5
Can,5
girl,5
isn't,5
Continue,5
involved,5
already,5
final,5
full,5
blame,5
asking,5
attorney,5
DNA,5
locked,5
start,5
showing,5
gain,5
Sorry,5
wake,5
drug,5
bye,5
bear,5
forced,5
try,5
green,5
leadeth,5
waters,5
presence,5
beat,5
child,5
Danny,5
daily,5
bread,5
lead,5
temptation,5
job,5
living,5
cases,5
tried,5
self,5
lied,5
talking,5
salvation,5
stopped,5
true,5
realize,5
seek,5
Alright,5
others,5
takes,5
hatred,5
responsible,5
Chris,5
light,5
West,5
wall,5
spiritual,5
folks,5
Like,5
tragedy,5
media,5
record,5
moratorium,5
happens,5
Officer,5
we're,5
public,5
press,5
3,4
5,4
whatever,4
Statement,4
By,4
names,4
None,4
proceed,4
towards,4
cousins,4
helps,4
beyond,4
alone,4
until,4
between,4
found,4
trouble,4
careful,4
once,4
Laura,4
cold,4
Cox,4
Ready,4
sinner,4
miracle,4
turned,4
T,4
you've,4
taste,4
Hallelujah,4
born,4
surely,4
road,4
pay,4
enough,4
throughout,4
journey,4
Robert,4
Gary,4
Hey,4
thinking,4
testimony,4
belong,4
suffer,4
Whiteside,4
pastures,4
paths,4
Yea,4
valley,4
shadow,4
thou,4
preparest,4
table,4
oil,4
cup,4
runneth,4
tears,4
Carlos,4
injustice,4
veins,4
allow,4
dog,4
Ain't,4
shine,4
Peace,4
Sylvia,4
nor,4
disappointed,4
upset,4
Daddy,4
Wilcox,4
dungeon,4
says,4
Penalty,4
began,4
singing,4
Those,4
Gomez,4
Veronica,4
nephews,4
lived,4
under,4
Paul,4
Adams,4
act,4
turn,4
Everything,4
worth,4
Savior,4
receive,4
Uncle,4
phone,4
spoke,4
received,4
needed,4
animosity,4
Joe,4
getting,4
nieces,4
met,4
charge,4
Court,4
Sister,4
bury,4
video,4
gives,4
while,4
gets,4
smile,4
Make,4
short,4
forgives,4
goodness,4
dwell,4
minutes,4
Unit,4
roll,4
victim,4
known,4
Mike,4
due,4
Get,4
rights,4
gotta,4
shoot,4
personal,4
Richard,4
victory,4
Rosalyn,4
fact,4
deal,4
suffered,4
officer,4
heard,4
car,4
Dear,4
Hell,4
Romans,4
regret,4
sooner,4
Eardmann,4
cross,4
With,4
divine,4
prophet,4
em,4
express,4
liberation,4
necessary,4
genocide,4
especially,4
wait,4
Ah,4
Price,4
Gene,4
Pinkerton,4
2,3
11,3
16,3
24,3
100,3
might,3
choices,3
Steve,3
Jones,3
different,3
California,3
transition,3
written,3
pass,3
fought,3
new,3
revenge,3
letting,3
behalf,3
family's,3
Never,3
young,3
guilt,3
win,3
You're,3
pop,3
C,3
Carl,3
Barbara,3
Ok,3
Did,3
seeing,3
close,3
spent,3
touched,3
lady,3
Susan,3
hero,3
angel,3
oh,3
Hart,3
Kim,3
leaving,3
Linda,3
Brad,3
grateful,3
Are,3
Only,3
Justice,3
completely,3
trigger,3
damn,3
type,3
accepted,3
humanity,3
forgiving,3
open,3
satisfaction,3
trust,3
Scott,3
heartache,3
suicide,3
set,3
uh,3
Williams,3
beginning,3
Alba,3
kindness,3
there's,3
feels,3
gladly,3
mourn,3
grave,3
poor,3
Jenny,3
Dell,3
fall,3
maketh,3
restoreth,3
anointest,3
Jackson,3
lies,3
Hold,3
tight,3
Reverend,3
ba,3
bump,3
On,3
trespasses,3
trespass,3
thine,3
courts,3
hand,3
Why,3
solace,3
within,3
lift,3
demand,3
Um,3
book,3
talked,3
money,3
truck,3
bed,3
Sir,3
Robin,3
Earth,3
fair,3
bringing,3
kept,3
Al,3
murdered,3
warrior,3
Christian,3
ran,3
high,3
Michelle,3
husband,3
breath,3
apology,3
hurts,3
since,3
Know,3
arms,3
joy,3
Doreen,3
joke,3
Maria,3
grandmother,3
Supreme,3
Randy,3
Doug,3
broke,3
facts,3
bitter,3
staff,3
chapter,3
saw,3
We're,3
accident,3
Debbie,3
Ray,3
fire,3
laws,3
brief,3
allowed,3
Leo,3
speak,3
hour,3
several,3
name's,3
Surely,3
sky,3
Tom,3
poem,3
anyway,3
Pam,3
Mother,3
deep,3
saving,3
blood,3
comes,3
Anthony,3
alive,3
Grace,3
treat,3
capital,3
profanity,3
become,3
clear,3
Connie,3
blessings,3
Rebecca,3
