trigram phrase,frequency
know that this,2
have a good,2
o k yes,2
life sentence for,2
for one another,2
the world see,2
you got to,2
i have asked,2
did not deserve,2
asked if there,2
am here but,2
she has done,2
i've got to,2
between you and,2
and giving me,2
to say goodbye,2
want to go,2
no hate toward,2
sometime in the,2
other i love,2
all that you,2
it i have,2
you and will,2
nothing against no,2
where are you,2
that will be,2
everyone on death,2
do it but,2
mr amp mrs,2
of my cousins,2
keep moving forward,2
that she has,2
but allah and,2
life i hope,2
daughter i am,2
to have closure,2
want to make,2
the death of,2
me how to,2
am glad i,2
thing i want,2
and everyone that,2
for the people,2
and move on,2
paul i love,2
the lord and,2
jack and irene,2
you will see,2
the human race,2
is not here,2
and i say,2
and irene wilcox,2
a fair trial,2
christ and i,2
family to know,2
family is not,2
you and you,2
are doing is,2
can all forgive,2
you have suffered,2
must be a,2
a great day,2
going home i'm,2
who have been,2
know how i,2
love and compassion,2
and unto thy,2
the only witness,2
portion of statement,2
all ya'll i,2
i wish that,2
you jesus i,2
name of christ,2
to say about,2
going to stay,2
that if there,2
of an innocent,2
ready warden thank,2
i love him,2
has not been,2
for hurting my,2
i lay here,2
tonight we tell,2
is lord i,2
they told me,2
years to get,2
on this earth,2
not showing up,2
days to come,2
in my family,2
hallelujah holy holy,2
what i said,2
i got your,2
what you have,2
so much you,2
with a needle,2
waiting for your,2
out there if,2
extend our love,2
ever and ever,2
all people that,2
if i would,2
when you can,2
yes first i,2
get in church,2
stay strong for,2
to die but,2
your forgiveness and,2
love my daughter,2
y'all be strong,2
together again i,2
he would be,2
to stop the,2
this this is,2
of those that,2
all the people,2
what ya'll are,2
lord and savior,2
given me the,2
lot of men,2
day we will,2
people black power,2
other side i,2
daughter i love,2
affording me the,2
the years and,2
in america that,2
got to wake,2
in there and,2
ya'll see you,2
everything in my,2
in the future,2
soul lord have,2
stood up for,2
mighty god in,2
you think i,2
i forgive all,2
we are all,2
here and do,2
me on the,2
y'all have been,2
so so sorry,2
leave this world,2
i left the,2
no remorse for,2
she is a,2
here i come,2
you mom i,2
i love yall,2
heads up i,2
to talk about,2
i know this,2
i was a,2
i put you,2
i had nothing,2
it won't matter,2
god could save,2
the face of,2
jesus precious name,2
it is finished,2
country that is,2
the glory for,2
mine enemies thou,2
and pain i,2
my friends for,2
will prevail we,2
me for whatever,2
my prayers i,2
the glory forever,2
unto thy i,2
me and to,2
warden let's do,2
hallowed be thy,2
all the fellows,2
and all these,2
her she is,2
to be forgiven,2
when an attorney,2
always be in,2
to go and,2
back seat of,2
the house and,2
go to sleep,2
i forgive you,2
and i can't,2
be but i,2
being here i,2
just like i,2
been there you,2
say in the,2
as much as,2
i hope everybody,2
much i will,2
all he has,2
the trial i,2
k i am,2
of this happened,2
all have been,2
lord the lord,2
going to feel,2
family i pray,2
i get to,2
with you all,2
will see all,2
who stood by,2
that someday you,2
and the family,2
i thank god,2
what i caused,2
a lot to,2
what i told,2
i hope and,2
apologize and i,2
lord forgive me,2
i've done and,2
happening here is,2
crime i am,2
that peace i,2
very sorry for,2
i'm not only,2
are all here,2
do i know,2
strong in the,2
just know that,2
love them too,2
father walsh for,2
the only one,2
god bless everybody,2
everything is going,2
face to face,2
caused you for,2
hard for you,2
care of them,2
died fighting for,2
is not forgotten,2
way you have,2
death row who,2
you i want,2
ways that you,2
warden that's it,2
to put my,2
and take care,2
if my life,2
and that's what,2
chantal i love,2
and liberation by,2
of these years,2
i went home,2
the west family,2
was an accident,2
wait for you,2
to protect and,2
will be a,2
love you chantal,2
command my spirit,2
here because of,2
is nothing i,2
hope god forgives,2
the ways that,2
and suffering and,2
strong continue to,2
god bless everyone,2
say is i,2
all to my,2
to prove my,2
know you all,2
to go with,2
up to be,2
stay strong i'm,2
your loss i,2
all those years,2
up and stop,2
to save my,2
me by not,2
to keep me,2
and find peace,2
smiling i am,2
you all on,2
sorry it is,2
brings you peace,2
what you do,2
i prayed for,2
love you pam,2
to come to,2
there are some,2
he gave me,2
for you please,2
long way and,2
a man i,2
is right but,2
all the way,2
with me thou,2
you have a,2
we are going,2
the people will,2
to stand together,2
too i am,2
love for all,2
am a christian,2
friend of mine,2
first and foremost,2
it meant a,2
can say is,2
the chance to,2
today i hope,2
come to you,2
for the loss,2
god that he,2
those that are,2
am responsible and,2
didn't last long,2
like i am,2
truly sorry for,2
would not have,2
this doesn't solve,2
love my children,2
lord for giving,2
with my death,2
want to address,2
know anything about,2
the same as,2
my heart goes,2
the world and,2
me god has,2
me home tonight,2
there with me,2
heaven hallowed be,2
of texas has,2
peace to my,2
all you know,2
i hurt a,2
let it be,2
really don't know,2
will bring me,2
give them a,2
at the polunsky,2
to live as,2
have supported me,2
remorse for something,2
you are out,2
in america tonight,2
penalty in texas,2
was forced to,2
of your support,2
do i am,2
will be made,2
long as we,2
stop the violence,2
and i don't,2
on all executions,2
truth will come,2
showed me i,2
all the years,2
in my prayers,2
this so called,2
let me know,2
know i will,2
you later i,2
we came and,2
will be avenged,2
have no animosity,2
peace and joy,2
and let me,2
said i love,2
give them all,2
come down here,2
caused a lot,2
you don't see,2
god gives you,2
been there i,2
they know not,2
that is about,2
dear heavenly father,2
i thank them,2
forgive me god,2
of my mama,2
of statement omitted,2
the time i,2
not because i,2
strong and take,2
of this should,2
god will be,2
death penalty i,2
them on the,2
they know i'm,2
i am saved,2
it is wrong,2
precious to you,2
see each other,2
see with the,2
christ for forgiveness,2
hate no one,2
is that you,2
texas justice system,2
and what is,2
you i can,2
is what it,2
that you not,2
only the beginning,2
there is so,2
people who have,2
lynching that is,2
thy rod and,2
your name on,2
you may god,2
me and being,2
for what happened,2
all your support,2
mother and father,2
the people never,2
miss you all,2
have never been,2
love in my,2
to the police,2
things i have,2
you for loving,2
all very much,2
for two greater,2
say is i'm,2
love and respect,2
love you dad,2
coming home dad,2
i didn't know,2
a life sentence,2
paths of righteousness,2
hope everybody has,2
me i thank,2
i understand that,2
our sins he,2
and support i,2
of these days,2
and that i,2
everybody has their,2
to have had,2
both you've been,2
god i would,2
through all this,2
is all warden,2
with my father,2
no ill will,2
to sleep now,2
over with that's,2
give you peace,2
taken i am,2
father i want,2
died for my,2
nothing i am,2
time i am,2
here i want,2
power keep marching,2
to say this,2
jesus i love,2
love you sister,2
i can't bring,2
you know is,2
moratorium on all,2
her and thank,2
was not just,2
is something i,2
them that i,2
i committed to,2
to have mercy,2
we will keep,2
not work when,2
me you all,2
this is wrong,2
sticking with me,2
and i understand,2
for something that,2
of you very,2
like a mother,2
the best friend,2
away from my,2
at my trial,2
said i am,2
give you the,2
death before dishonor,2
amp mrs kenney,2
my love for,2
me i could,2
i'm gonna miss,2
sorry to the,2
family i did,2
and nothing else,2
to say i'm,2
you too my,2
for your blessing,2
regret what happened,2
of a police,2
how it feels,2
peace in this,2
at some point,2
all keep your,2
and family i,2
father god i,2
america this is,2
know how to,2
ever forget me,2
your pain and,2
y'all take and,2
y'all take care,2
the things i,2
always love you,2
i'm sorry to,2
you chantal i,2
shoot the man,2
hurt i hope,2
yes i just,2
do to my,2
strength that you,2
and mighty god,2
know it's not,2
everybody to know,2
to be i,2
to say anything,2
i have lived,2
that supported me,2
to be but,2
and daddy i,2
do what i,2
known i was,2
kenney and ms,2
to my life,2
every right to,2
west family i,2
look at my,2
everything i love,2
beat me up,2
on the streets,2
you please forgive,2
had the gun,2
what you want,2
my nieces and,2
you heavenly father,2
he would not,2
responsible and i,2
want nobody to,2
i will leave,2
being here for,2
went to the,2
me thy rod,2
did it i,2
get a chance,2
care i'm ready,2
all the kids,2
myself i am,2
is taking place,2
what a blessing,2
think i did,2
put this all,2
the time in,2
to join my,2
for it i,2
it didn't last,2
going to see,2
i wish everybody,2
to take this,2
leave this body,2
officer boswell was,2
your hands i,2
soul he leadeth,2
home to the,2
i ask the,2
me will have,2
you don't find,2
the best and,2
had the best,2
you and god,2
years and for,2
always been sorry,2
america that hate,2
you know how,2
love and peace,2
that did this,2
in the flesh,2
amen i love,2
love you sis,2
of the deceased,2
and ms arnott,2
with me you,2
have a lot,2
to say something,2
done everything in,2
me now i,2
my family thanks,2
my soul lord,2
don't have anything,2
glory for ever,2
a long journey,2
me to say,2
i get there,2
not what they,2
all the best,2
mercy on me,2
take care i'm,2
and tell her,2
all on the,2
your hearts i,2
we grew up,2
for your mercy,2
men on death,2
to say god,2
and to you,2
not kill anyone,2
to keep on,2
in her heart,2
members of the,2
sorry yes sir,2
things that have,2
how we grew,2
he will be,2
we will move,2
for what y'all,2
to thank father,2
i am finished,2
really sorry please,2
is what is,2
to pass on,2
to give them,2
in some cases,2
say god bless,2
nothing else i,2
and let them,2
surely does i,2
love and i,2
my spirit amen,2
hard to put,2
sins that i,2
comfort me thou,2
and thy staff,2
for a moratorium,2
written i wish,2
why i did,2
not give up,2
from you i,2
love one another,2
do i'd like,2
of them i,2
love to everyone,2
stay strong yes,2
will bless them,2
forgiveness because i,2
i'm gonna go,2
sorry i put,2
apology i know,2
see ya'll again,2
you lost a,2
say to mr,2
i wasn't going,2
i'm not the,2
person that i,2
uphold what is,2
come to this,2
love you tell,2
hatred and anger,2
to come out,2
her around the,2
got my peace,2
they are going,2
meant to hurt,2
come out in,2
family friends and,2
of the beautiful,2
you for forgiveness,2
call me a,2
you wanted me,2
first thing i,2
i didn't get,2
me of all,2
and now i,2
i believe that,2
keep me in,2
day to die,2
thing to say,2
be avenged it,2
them all the,2
sorry for hurting,2
i call her,2
my life tonight,2
hope sometime in,2
them in my,2
sorry forgive me,2
get all the,2
the last few,2
forgive all of,2
my whole life,2
the lord god,2
with me in,2
if she is,2
comfort and peace,2
save my life,2
right after that,2
and soul and,2
in the past,2
you can i,2
my daughter i,2
the officers and,2
is not going,2
daddy i love,2
go through this,2
been praying for,2
love them to,2
it surely does,2
back to my,2
just hope that,2
for getting me,2
you have forgiven,2
let's ride i,2
you yes sir,2
english i love,2
you will forgive,2
my lord and,2
the texas justice,2
told me not,2
them for they,2
lord i ask,2
could change things,2
tell my sister,2
you must stay,2
died for me,2
here i have,2
you all know,2
have made peace,2
love you warden,2
hands i commit,2
family i appreciate,2
i would pay,2
what they did,2
for affording me,2
now i have,2
black people black,2
ever going to,2
don't need any,2
you to all,2
the back seat,2
listen to your,2
them what they,2
me all of,2
all i will,2
children i love,2
thank you yes,2
going to get,2
will wait for,2
a one eyed,2
of righteousness for,2
not know how,2
ya'll stay strong,2
now i can,2
do not think,2
with him i,2
you pam i,2
much i love,2
need to take,2
all so much,2
life for the,2
to understand what,2
statement yes i,2
i need to,2
i am guilty,2
home i love,2
today i have,2
you for helping,2
may we all,2
anything to say,2
and that he,2
and if i,2
form or fashion,2
people will be,2
love you yes,2
for what you,2
blame for this,2
mourn my death,2
here in america,2
of what happened,2
and love i,2
the devil to,2
for sticking with,2
want to kill,2
it's not nice,2
y'all have done,2
love everybody and,2
did there is,2
me tell my,2
you turn your,2
she is my,2
never hollered for,2
this whole thing,2
wish i would,2
me like i,2
lord will give,2
me that they,2
witness that there,2
brothers on death,2
over you i,2
none of this,2
tell you the,2
of the human,2
at the time,2
for your arrival,2
and supporting me,2
say i don't,2
you for supporting,2
have no ill,2
the world you,2
could bring them,2
please lord i,2
and friends that,2
that is free,2
that you get,2
as my lord,2
i love everybody,2
the same house,2
what happened to,2
show no remorse,2
a long way,2
as a man,2
would not be,2
only one that,2
ya'll are doing,2
and i thought,2
me to come,2
is one of,2
his forgiveness i,2
tell the guys,2
love them thank,2
all in my,2
that we have,2
for everybody i,2
life i thank,2
being there tell,2
to ya'll i,2
the peace you,2
if you don't,2
all be together,2
let the world,2
to live your,2
you all the,2
me on death,2
in this that,2
three persons blessed,2
be strong for,2
know that one,2
as i forgive,2
love me i,2
tell my brothers,2
as i know,2
we extend our,2
love them all,2
for not being,2
of my people,2
sorry and forgive,2
you may proceed,2
love you may,2
you people i,2
that i can,2
heart i know,2
i have accepted,2
and make the,2
i will wait,2
appreciate you i,2
of death row,2
people who work,2
the lord will,2
happy are you,2
is a heaven,2
in the system,2
been wonderful you,2
that took place,2
should not have,2
i will keep,2
and stop doing,2
is no point,2
let me down,2
i am disappointed,2
in the last,2
my heart thank,2
the same person,2
sir i just,2
my life could,2
am finished i,2
like to extend,2
must move forward,2
you all please,2
very much i,2
lord god almighty,2
i pray and,2
life of your,2
the opportunity to,2
of my supporters,2
this is something,2
will find the,2
i have not,2
hollered for the,2
mine i love,2
christ jesus alone,2
all of y'all,2
my mind but,2
me god bless,2
cases killing is,2
if you have,2
give thanks for,2
folks in america,2
the lord has,2
should have happened,2
the bad things,2
you with me,2
me to be,2
lord thank you,2
kill your loved,2
for me god,2
best all of,2
allah i belong,2
peace we know,2
to go yes,2
could save me,2
you to do,2
sisters and brothers,2
protect and uphold,2
any pain and,2
be together again,2
my father i,2
to say thanks,2
call her ros,2
praying for me,2
be there waiting,2
the media i,2
hope all the,2
caused i love,2
persons blessed trinity,2
head up and,2
be with god,2
i made a,2
of the people,2
has always been,2
a lot more,2
i guess i,2
may proceed warden,2
going to happen,2
lord jesus i,2
the future you,2
better family than,2
i give my,2
may the lord,2
don't want y'all,2
i see your,2
going to end,2
to represent you,2
have not prayed,2
say goodbye i,2
for you will,2
he did not,2
and love you,2
don't know who,2
know not what,2
momma i love,2
and who have,2
to my supporters,2
you are i,2
lord yes i,2
you know you,2
walk to this,2
i'm innocent and,2
is not the,2
mercy jesus mercy,2
by not showing,2
them know what,2
i have forgiven,2
am sorry you,2
and savior and,2
am innocent i,2
leave like a,2
and the truth,2
yes i want,2
i'm saying i,2
pain and grief,2
lives and i,2
strong thank you,2
death of your,2
who have loved,2
this one time,2
long as i,2
me even though,2
i can't hear,2
would pay it,2
being a part,2
to look at,2
y'all to know,2
you may not,2
me and my,2
i am dying,2
i could to,2
in this life,2
does not work,2
heart thank you,2
to jesus christ,2
towards me i,2
bump ba bump,2
and they are,2
maketh me to,2
gives you peace,2
in jesus name,2
forgive me in,2
go ahead warden,2
and them i,2
the truth and,2
we confess our,2
will leave like,2
savior and i,2
carry on that,2
move forward and,2
know that god,2
you all god,2
forgive them for,2
of your loved,2
i deserve this,2
say but i,2
you all how,2
you i'm through,2
not easy for,2
on my own,2
here for me,2
love to the,2
made a mistake,2
always been there,2
forgiveness for all,2
i can't say,2
my family goodbye,2
innocent man and,2
shed tears of,2
i command my,2
it was done,2
who have helped,2
bring me home,2
keep the faith,2
it thank you,2
for the families,2
through i am,2
that i had,2
thank him for,2
home lord take,2
will keep marching,2
y'all i am,2
god i hope,2
forgiveness i ask,2
your support and,2
their job for,2
but i do,2
you can all,2
this is my,2
i am taking,2
be in a,2
my brothers i,2
that was a,2
is the worst,2
over the last,2
see you in,2
one day you,2
only ask that,2
keep your eyes,2
don't be sad,2
everyone to know,2
one of my,2
came into the,2
to find it,2
i'm innocent i,2
and comfort in,2
pam i love,2
did i wish,2
in heaven for,2
you both you've,2
have showed me,2
forgive me thank,2
the best for,2
loss and i,2
know i did,2
i know god,2
wish you could,2
thank you very,2
get ready to,2
neither here nor,2
thank my father,2
hope that one,2
see this i,2
david dow you,2
stay strong all,2
thanks for everything,2
on them i,2
and the pain,2
if my death,2
to speak to,2
love her the,2
i am thankful,2
please do not,2
in the face,2
at peace and,2
k yes sir,2
as human beings,2
has brought us,2
and in the,2
i say to,2
to tell mr,2
at peace with,2
am sorry forgive,2
you i apologize,2
people of the,2
i have committed,2
know i can't,2
anything about it,2
you too mom,2
do not hate,2
am saying i,2
have loved me,2
we know the,2
loved ones that,2
i had the,2
to happen i,2
side o k,2
sorry that's it,2
just keep your,2
liberation by any,2
pain and misery,2
are killing me,2
you are murdering,2
see my family,2
anyone i have,2
my mother i,2
ba bump ba,2
appreciate all of,2
but we will,2
came and to,2
going to do,2
warden i do,2
i see you,2
i want everybody,2
jesus christ be,2
that god gives,2
a human being,2
the truth i,2
family stay strong,2
carrying out this,2
family for what,2
good i love,2
hope you have,2
going to change,2
when you are,2
allah we came,2
what happened and,2
it's my hour,2
down and that,2
couldn't stop us,2
i am sure,2
media i would,2
i've caused you,2
strength in christ,2
peace in the,2
you will have,2
statement omitted due,2
back on the,2
dow you have,2
have beat me,2
heart i will,2
trying to tell,2
we will go,2
row who have,2
me and all,2
and give them,2
of people that,2
let everybody know,2
the video tapes,2
give you comfort,2
do not give,2
what i had,2
what it takes,2
it's all good,2
him i am,2
sorry that is,2
up i love,2
people who support,2
is supposed to,2
in my execution,2
it i don't,2
this country we,2
of islam i,2
apologize for your,2
a man and,2
do is ask,2
going to have,2
for my sake,2
it is hard,2
just remember the,2
your back on,2
this is nothing,2
my heart i'm,2
down here and,2
i extend my,2
no one i,2
here today for,2
in my death,2
supreme court you,2
my father and,2
and for being,2
mistake that i,2
family i'm sorry,2
to my brothers,2
man and i,2
is love love,2
nobody to be,2
to tell ya'll,2
life i would,2
you all so,2
family i ask,2
a great loss,2
by me and,2
so much to,2
it yes sir,2
their heart to,2
wake up and,2
i gave you,2
good to me,2
love you have,2
take responsibility for,2
i did there,2
they are the,2
lot of ways,2
to say the,2
and misery that,2
you i didn't,2
know that the,2
and stuff i,2
not a day,2
everything i could,2
strong i am,2
equal justice this,2
love you english,2
to your parents,2
going home i,2
forced to do,2
wasn't going to,2
understand i am,2
will be in,2
too my brother,2
care i am,2
have had the,2
to the media,2
what was just,2
i can't imagine,2
my apology i,2
the system does,2
really do i,2
tell mama i,2
be waiting on,2
the one who,2
suffering i have,2
to the west,2
all my sins,2
with me and,2
all know what,2
he leads me,2
it's not over,2
for they know,2
me for you,2
spirit i love,2
your faith in,2
and that it,2
i pray to,2
ready for the,2
all god bless,2
you died for,2
loved ones this,2
you all be,2
death row that,2
thank my attorneys,2
i could bring,2
is really happening,2
i return i,2
i know what,2
in my eyes,2
have so much,2
no point in,2
that ya'll can,2
back to him,2
me what happened,2
like to point,2
i hold nothing,2
the row thank,2
continue to stand,2
and don't give,2
to heaven with,2
my side i,2
and i hurt,2
i thank my,2
hurt you i,2
can't hear you,2
soul and i,2
on both sides,2
know it was,2
lord i would,2
if not i,2
can't take back,2
sins he is,2
to thank them,2
that i'm sorry,2
loving me and,2
you warden yes,2
always with you,2
home with you,2
last long i,2
god in three,2
that you wanted,2
in a few,2
he had known,2
i swear to,2
to pray for,2
have been the,2
not the end,2
go yes i,2
i could change,2
have ever had,2
am sorry my,2
up out of,2
up for all,2
please i ask,2
the unites states,2
and for the,2
that there are,2
supposed to be,2
family take care,2
to address you,2
a blessing to,2
for any pain,2
love so much,2
something i did,2
i guess the,2
and my mother,2
and everybody that,2
person i have,2
my supporters and,2
mrs kenney and,2
to get ready,2
you all that,2
through and i,2
get my life,2
and i had,2
know where i,2
not know he,2
back and change,2
goodbye i love,2
people listen to,2
love ya i,2
lord i commit,2
help you i,2
love you both,2
talk to the,2
warden to my,2
for everything i,2
stay out of,2
to see them,2
though i lay,2
that it has,2
coming to see,2
you for standing,2
in a lot,2
i've done i,2
it i was,2
like to clear,2
continue to move,2
prove my innocence,2
it was a,2
glory forever and,2
what is just,2
jesus mercy jesus,2
one that can,2
that i'm not,2
to your family,2
i want everyone,2
here nor there,2
love you dearly,2
that showed support,2
i always have,2
love to all,2
up for what,2
love you be,2
continue to work,2
you to stay,2
end to the,2
right warden let's,2
and pray that,2
laura i love,2
yeah i want,2
i needed to,2
heaven hallowed by,2
the time that,2
know you have,2
doesn't solve anything,2
for a long,2
you must continue,2
i'll be with,2
mad at me,2
bring you peace,2
of the trouble,2
it does not,2
truly sorry and,2
am thankful for,2
have done and,2
that you need,2
turn your back,2
must stay strong,2
the good things,2
will see ya'll,2
you that is,2
of texas i,2
mother and my,2
i just didn't,2
thanks to the,2
a lynching that,2
did i would,2
me and for,2
out of my,2
to see my,2
that one day,2
on keeping on,2
this brings closure,2
be in my,2
hallowed by thy,2
supposed to protect,2
incident happened i,2
all that is,2
will see them,2
god forgive them,2
of yourself i,2
to make is,2
my daughter and,2
am not sad,2
me know that,2
but i have,2
and thanks for,2
pray this i,2
didn't get a,2
you in the,2
address the family,2
the love of,2
to my kids,2
precious name i,2
just and right,2
and my brother,2
say it all,2
bear witness that,2
sorry for taking,2
me the opportunity,2
me home with,2
the fellows on,2
you i'm done,2
thank her for,2
am truly truly,2
my actions have,2
you for this,2
just like you,2
omitted due to,2
really sorry for,2
about the death,2
what was right,2
thank father walsh,2
done i can't,2
day i hope,2
all my loved,2
not to give,2
if all you,2
and he was,2
know all of,2
to say warden,2
demand a moratorium,2
on behalf of,2
sister i know,2
it to my,2
some cases killing,2
to fix the,2
to see the,2
you look at,2
you all tell,2
that all of,2
not all of,2
that's it and,2
with me thy,2
black power keep,2
them i will,2
come out and,2
confess our sins,2
there for them,2
misery that i,2
one i have,2
lynching will not,2
so much for,2
this to happen,2
make a living,2
am happy that,2
of you this,2
them know that,2
they will have,2
don't bury me,2
loss of your,2
support and thanks,2
you that's it,2
of here i,2
tell you all,2
tonight i love,2
it i've got,2
righteousness for his,2
care i love,2
say you can,2
i belong unto,2
will always love,2
you lord for,2
you a lot,2
to demand a,2
hope you don't,2
will be o,2
because i know,2
love you y'all,2
against me i,2
as surely as,2
much i am,2
been a good,2
to my daughter,2
me throughout this,2
the state and,2
my mother for,2
has their peace,2
we refuse to,2
system does not,2
never pay here,1
stronger you deserve,1
death row community,1
it will not,1
worthy of it,1
i asked the,1
they call me,1
going to shoot,1
seek give yourself,1
on it he,1
my family in,1
of faith we,1
this it is,1
children they will,1
done the have,1
not get my,1
love them god,1
remember yes sir,1
read that article,1
happened and that,1
kills someone he,1
of people out,1
larry ashworth in,1
know i never,1
world for the,1
as a closure,1
john luttig died,1
i've caused all,1
come out it,1
respect you big,1
you sis cynthia,1
your execution talking,1
ask forgiveness father,1
me such a,1
been drawn up,1
that worked for,1
popsicle stand way,1
i hurt the,1
am still a,1
my death change,1
struggling to stay,1
thing viva mexico,1
blessings and all,1
wrong i can't,1
these years my,1
me you turn,1
know once upon,1
i didn't tie,1
so many mentally,1
to it but,1
and living to,1
family through this,1
though my judgment,1
a living a,1
tomas and we,1
and their sake,1
this life with,1
began the remorse,1
daddy will look,1
evidence because they,1
of the witnesses,1
you father father,1
everyone after this,1
be putting everybody,1
god knows the,1
right i can't,1
goodbye first i,1
understand the pain,1
about it but,1
we must you,1
with anger and,1
yard i helped,1
my wife take,1
my special love,1
pray the lord,1
commit i am,1
be there that's,1
ready warden praise,1
with y'all thank,1
your mercy for,1
join my father,1
those who support,1
crime that i,1
momma don't bury,1
to this moment,1
doreen melodee i,1
y'all still have,1
on and find,1
here and have,1
family to get,1
last statement he,1
back yes warden,1
of the car,1
make the world,1
more loving fathers,1
thing to all,1
death through jesus,1
humans from god,1
christ jesus i,1
my country i,1
bye i love,1
meet with ya'll,1
do go ahead,1
coming from michigan,1
tommy perkins the,1
and be with,1
have already said,1
their father at,1
up god bless,1
don't have hate,1
closure they are,1
sea holy holy,1
remember me for,1
yall for being,1
beginning yes first,1
going to stop,1
or not i,1
attorneys did their,1
but my death,1
i get mine,1
family presented to,1
amen i would,1
this entire situation,1
bruce joe ya'll,1
you can ya'll,1
separation between you,1
i stand before,1
anybody in my,1
nine years and,1
and file a,1
lawyers rita and,1
wish they could,1
king of my,1
has granted me,1
about those of,1
comments he's made,1
walks away victorious,1
and your momma,1
and the four,1
so much thank,1
and today is,1
point where it,1
never despite what,1
mistakes are made,1
vicente hernandez that,1
daddy loves you,1
agree with this,1
everyone out there,1
maurie michael grandbabies,1
as you know,1
day we all,1
exposed to the,1
all susan mrs,1
mr lambert's family,1
know this no,1
senseless but the,1
family to the,1
say that and,1
the racist white,1
this and the,1
them find out,1
give it up,1
where i'm at,1
mr price of,1
the spirit which,1
family who gave,1
altered and falsified,1
whatever makes ya'll,1
teach for not,1
on with life,1
turned you are,1
dr blackwell that,1
keep this statement,1
but i want,1
say here or,1
justice the people,1
it look but,1
done i'd like,1
judy i love,1
justice system and,1
shine on the,1
you i respect,1
and holy prophet,1
man to the,1
you to lift,1
pain god bless,1
stefanie i do,1
me my friends,1
christ is the,1
am a big,1
molest that kid,1
she died she,1
of kings i,1
for whatever hurt,1
the press and,1
i got it,1
great american justice,1
satisfaction or comfort,1
death penalty if,1
thought of having,1
forget marcy profanity,1
behold your mother,1
loving fathers and,1
me and the,1
adams never volunteered,1
officers that respected,1
at peace to,1
being saved so,1
rolling i'm going,1
you too pop,1
you gloria always,1
in english i,1
media with everybody's,1
act is no,1
do and i,1
it to myself,1
that i may,1
mumbled not from,1
no longer here,1
in the family,1
cannot take back,1
contact you because,1
is that ya'll,1
and forgive so,1
wish everybody well,1
bullet patterns shot,1
that tradition and,1
good friend you,1
allah with your,1
they have shown,1
is everything god,1
pray that jesus,1
down and cry,1
to say yes,1
bitterness that's in,1
everyone let's do,1
and i betrayed,1
around i love,1
my mistakes my,1
oh my god,1
can only give,1
have peace to,1
from god save,1
happen now i,1
you angel let's,1
you well first,1
them and stay,1
call upon the,1
wasn't until i,1
that i'm dying,1
not deserve this,1
peace let's ride,1
comfort and strength,1
daughters family and,1
men a chance,1
of the polunsky,1
was right after,1
not just my,1
from my soul,1
love and understanding,1
can only apologize,1
wasn't my fault,1
the beautiful years,1
it if he,1
the african unintelligible,1
my punishment is,1
the leg then,1
full potential but,1
to change my,1
paths yea though,1
in earth and,1
right i guess,1
have to move,1
will call him,1
home i'll see,1
that she did,1
why i am,1
can kill but,1
doubt about it,1
friend katherine cox,1
you is secure,1
said to be,1
are again folks,1
that sometime down,1
our song shall,1
sincere thanks to,1
life and killing,1
heart in your,1
doing right now,1
it not bad,1
dad's eyes i've,1
your family ah,1
who are standing,1
like you to,1
well but my,1
use this evidence,1
you people sister,1
love ya'll i'll,1
this with lots,1
islam i bear,1
you weren't happy,1
you like they,1
peace that i,1
systematic killing of,1
being my lord,1
had y'all in,1
you i always,1
love but the,1
are charles bass,1
to this point,1
to have lost,1
do not come,1
takes i am,1
you did i,1
of your car,1
years of my,1
life it's gonna,1
me to take,1
supporting me with,1
only god will,1
we were never,1
where they can,1
kay i thank,1
chance i'm sorry,1
never done anything,1
you dad i,1
daughter who was,1
murder so my,1
got love for,1
for something the,1
coming down jennie,1
life quiet singing,1
the trunk of,1
that would save,1
say before i,1
katherine cox my,1
solid ground let,1
the kingdom of,1
done wrong sure,1
and louis i,1
there not to,1
wearing a diaper,1
let them do,1
against me or,1
at me and,1
give me patience,1
it was never,1
you comfort i,1
ask dad why,1
am being real,1
i graciously received,1
tragedy for my,1
tact when she,1
keep on living,1
them for what,1
country we are,1
to know everyone,1
like a father,1
address the robinson,1
forever remember me,1
to prison i,1
for us there,1
completely lost on,1
me now you,1
i praise you,1
warden praise allah,1
situation that happened,1
place on nov,1
innocent i didn't,1
looked at and,1
you believe it,1
get over any,1
warden okay i've,1
get ready for,1
and ah i,1
other countries and,1
to give those,1
caused her so,1
that we continue,1
knows he illegally,1
santajaib singh ji,1
that the prosecutor,1
those video tapes,1
love them father,1
and a way,1
all happy spanish,1
taken part in,1
trinity oh our,1
a hug and,1
our children that,1
life once to,1
a hurry you,1
denial or incarceration,1
problem is not,1
pass on i,1
may learn to,1
your peace and,1
were just trying,1
for closure in,1
not say thomas,1
california youth authority,1
a closure because,1
house and the,1
me take care,1
know be right,1
alright i sent,1
ending with a,1
you years ago,1
started with a,1
hate anybody because,1
will go back,1
march on all,1
unfortunate because i,1
sorry teach for,1
cathy you know,1
home the hardest,1
spanish we all,1
lot of heartache,1
said he would,1
fight you could,1
many people were,1
now write to,1
many lives i,1
my innocence this,1
giving me a,1
turned out to,1
murder your son,1
hollow and cheap,1
innocent and i,1
rest of you,1
not patrick bryan,1
that thank you,1
he doesn't love,1
in with a,1
all written there,1
mercy reach down,1
he is thanks,1
only thing we,1
there with all,1
my brothers all,1
what y'all want,1
what you believe,1
